,bajo_nivel_pobreza,codigo,direccio_estado,direccio_fisica,direccion_municipio,direccion_zipcode,director,distrito,escuela,espa_ol_avanzado,espa_ol_b_sico,espa_ol_pre_b_sico,espa_ol_proficiente,espa_ol_proficiente_avanzado,estatus_actual,fax,geolocalizacion,grado_1,grado_10,grado_11,grado_12,grado_2,grado_3,grado_4,grado_5,grado_6,grado_7,grado_8,grado_9,grado_infant,grado_k,grado_pk,grado_pke,grado_pkm,grado_sge,grado_sgi,grado_sgs,grado_toddler,grados_original,grados_posterior,ingl_s_avanzado,ingl_s_b_sico,ingl_s_pre_b_sico,ingl_s_proficiente,ingl_s_proficiente_avanzado,matem_ticas_avanzado,matem_ticas_b_sico,matem_ticas_pre_b_sico,matem_ticas_proficiente,matem_ticas_proficiente_avanzado,matricula_total,municipio_escolar,nivel_original,region,table_id,telefono,zona
323,86.73,62679,PR,"CALLE GUARACANAL, BO. VENEZUELA",SAN JUAN,00926-0000,LUZ CANALES,SAN JUAN II,AMALIA MARIN,65.82,16.46,5.06,12.66,78.48,SI,764-0093,"{'latitude': '18.39313', 'longitude': '-66.05409'}",41,,,,32,32,44,33,,,,,,43,,,,11,,,,"K - 6 , EEE","K - 6, EEE",43.04,26.58,7.59,22.78,65.82,46.84,15.19,16.46,21.52,68.35,236,SAN JUAN III,ELEMENTAL,SAN JUAN,43,764-0093,URBANA
324,71.02,35766,PR,BO QUEBRADA VUELTA,FAJARDO,7381007,HILDA COLLADO BAEZ / EVELYN CARRION,FAJARDO,ANA DELIA FLORES SANTANA  VOC,21.52,38.40,12.66,27.43,48.95,SI,860-7035,"{'latitude': '18.30027', 'longitude': '-65.64811'}",,275,234,213,,,,,,,,,,,,,,,,35,,"10 - 12 , EES","10 - 12 , EES",25.42,27.54,24.15,22.88,48.31,0.84,73,23.21,2.95,3.80,757,FAJARDO,SUPERIOR,HUMACAO,45,863-0424,RURAL
325,75.31,26013,PR,CARR 171 KM 0 HM 3 BO SUD,CIDRA,00739-0000,JOSE ARZOLA DONES,CIDRA,ANA J CANDELAS,22.43,41.12,8.41,28.04,50.47,SI,739-3740,"{'latitude': '18.17064', 'longitude': '-66.16219'}",,166,117,114,,,,,,,,93,,,,,,,,,,12-Oct,12-Oct,16.82,29.91,28.04,25.23,42.06,6.54,69.16,10.28,14.02,20.56,490,CIDRA,SUPERIOR,CAGUAS,47,739-8070,URBANA
326,95.92,40493,PR,CARR.107 URB. EL PRADO,AGUADILLA,00603-0000,ARACELIS VEGA CASTILLO,AGUADILLA,ANA M. JAVARIZ,53.46,21.38,4.40,20.75,74.21,SI,882-5175,"{'latitude': '18.45022', 'longitude': '-67.14958'}",31,,,,35,38,38,29,,,,,,25,,,,10,,,,"K - 6 , EEE","K - 6 , EEE",40.25,16.98,0,42.77,83.02,25.16,37.74,3.77,33.33,58.49,206,AGUADILLA,ELEMENTAL,MAYAGUEZ,48,891-2260,RURAL
327,64.85,30270,PR,CALLE DR VIDAL CARR #3; AL LADO DE SANTOS TEXACO,HUMACAO,00792-0000,CONCHITA A. SANTIAGO ALVAREZ,LAS PIEDRAS,ANA ROQUE DE DUPREY,13.89,40.28,22.22,23.61,37.50,SI,852-0820,"{'latitude': '18.14917', 'longitude': '-65.82054'}",,155,155,148,,,,,,,,123,,,,,,,,,,12-Oct,12-Oct,12.50,23.61,41.67,22.22,34.72,0,55.56,41.67,2.78,2.78,581,HUMACAO,SUPERIOR,HUMACAO,50,852-1115 - 852-0820,URBANA
328,78.92,52985,PR,CALLE LUIS MUNOZ RIVERA CARR 1 BO JAUCA,SANTA ISABEL,00757-0000,MARCELINO BURGOS SALAMO,SANTA ISABEL,ANA VALLDEJULY (JAUCA),52.17,15.22,4.35,28.26,80.43,SI,845-6147,"{'latitude': '17.9685', 'longitude': '-66.36765'}",34,,,,36,23,19,38,34,,,,,22,,,,9,,,,"K - 6 , EEE","K - 6, EEE",56.04,7.69,3.30,32.97,89.01,40.22,25,11.96,22.83,63.04,215,SANTA ISABEL,ELEMENTAL,PONCE,52,845-6147,RURAL
329,90.24,54940,PR,AVE LAS AMERICAS URB CONSTANCIA,PONCE,00715-0119,MARIA DEL R. MADERA AYALA,PONCE,ANDRES GRILLASCA SALAS,9.09,59.50,19.83,11.57,20.66,SI,842-6414,"{'latitude': '18.00744', 'longitude': '-66.60161'}",43,,,,55,48,46,35,,,,,,31,,,,7,,,,"K - 6 , EEE","K - 6 , EEE",4.10,50.82,36.07,9.02,13.11,10,58.33,14.17,17.50,27.50,265,PONCE II,ELEMENTAL,PONCE,54,840-7115,URBANA
330,78.19,69039,PR,CALLE ANDRES VALCARCEL FINAL,TRUJILLO ALTO,-997,RAFAEL RODRIGUEZ,GUAYNABO,ANDRES VALCARCEL,10.90,54.98,12.32,21.80,32.70,SI,748-4195,"{'latitude': '18.35289', 'longitude': '-66.0064'}",,,,,,,,,266,106,114,,,,,,,,,,,9-Jul,9-Jul,6.64,42.18,35.55,15.64,22.27,0.47,66.82,32.70,0,0.47,486,TRUJILLO ALTO,INTERMEDIO,SAN JUAN,55,761-1060,URBANA
331,70.27,17186,PO BOX 1571,CARR 633 KM 4 HM 7 BO BARAHONA,MOROVIS,00687-0000,CARLOS FIGUEROA LA TORRE,OROCOVIS,ANGEL G. QUINTERO,26.86,33.51,10.11,29.52,56.38,SI,862-1827,"{'latitude': '18.35816', 'longitude': '-66.44581'}",,,,,,,,,126,116,156,,,,,,,,9,,,"7 - 9 , EEI","7 - 9 , EEI",17.87,32.27,16.27,33.60,51.47,27.39,43.09,15.43,14.10,41.49,407,MOROVIS,INTERMEDIO,BAYAMON,56,862-1716,RURAL
332,79.12,61853,PR,CAR 857 KM 0.3 BO CANOVANILLAS,CAROLINA,00986-7759,JUAN F. FERNANDEZ APONTE,CAROLINA,ANGEL P MILLAN ROHENA,6.19,53.61,24.74,15.46,21.65,SI,769-0385,"{'latitude': '18.36921', 'longitude': '-65.93054'}",,171,201,159,,,,,,,,242,,,,,,,,,,12-Oct,12-Oct,6.74,28.50,50.26,14.51,21.24,0,48.97,51.03,0,0,773,CAROLINA I,SUPERIOR,SAN JUAN,61,276-0120,RURAL
